Model,Prompt,Acurácia (moda),Precisão (moda),Recall (moda),F1 (moda),Under-triage (moda),Over-triage (moda),Concordância média,Acurácia geral,Under-triage geral,Over-triage geral
deepseek-r1-14b,prompt_1,0.358974,0.300000,0.370256,0.279565,0.120000,0.880000,0.452991,0.299145,0.182927,0.817073
deepseek-r1-14b,prompt_2,0.435897,0.349444,0.463590,0.369927,0.363636,0.636364,0.367521,0.393162,0.338028,0.661972
deepseek-r1-14b,prompt_3,0.282051,0.228205,0.264872,0.192274,0.178571,0.821429,0.529915,0.290598,0.182927,0.817073
gemma3-12b,prompt_1,0.179487,0.084249,0.240000,0.106857,0.000000,1.000000,0.931624,0.196581,0.000000,1.000000
gemma3-12b,prompt_2,0.333333,0.138961,0.320000,0.186186,0.000000,1.000000,1.000000,0.333333,0.000000,1.000000
gemma3-12b,prompt_3,0.307692,0.133333,0.306667,0.177778,0.000000,1.000000,0.931624,0.316239,0.000000,1.000000
gpt-oss-20b,prompt_1,0.410256,0.460691,0.420085,0.395933,0.136364,0.863636,0.581197,0.435897,0.177419,0.822581
gpt-oss-20b,prompt_2,0.512821,0.603077,0.538974,0.523810,0.263158,0.736842,0.658120,0.461538,0.222222,0.777778
gpt-oss-20b,prompt_3,0.461538,0.305556,0.373504,0.314286,0.150000,0.850000,0.504274,0.461538,0.131148,0.868852
llama3.1-8b,prompt_1,0.307692,0.623626,0.422051,0.367772,0.000000,1.000000,0.572650,0.290598,0.048193,0.951807
llama3.1-8b,prompt_2,0.230769,0.422000,0.468718,0.298447,0.133333,0.866667,0.564103,0.256410,0.080460,0.919540
llama3.1-8b,prompt_3,0.205128,0.144048,0.255385,0.130736,0.032258,0.967742,0.846154,0.213675,0.032609,0.967391
Todos (Média),prompt_1,0.314102,0.367142,0.363098,0.287532,0.064091,0.935909,0.634615,0.305555,0.102135,0.897865
Todos (Média),prompt_2,0.378205,0.378370,0.447820,0.344592,0.190032,0.809968,0.647436,0.361111,0.160178,0.839823
Todos (Média),prompt_3,0.314102,0.202786,0.300107,0.203768,0.090207,0.909793,0.702992,0.320513,0.086671,0.913329
Todos (Média),Todos (Média),0.335470,0.316099,0.370342,0.278631,0.114777,0.885223,0.661681,0.329060,0.116328,0.883672
